id,name,price,original_price,discount,rating,review_count,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,product_type
1717773,Thức Ăn Cho Mèo Royal Canin Indoor 27 (400g),130000,130000,0,5,1,,,,,,,,,,thức ăn mèo royal canin
278024848,ÁO THUN NỈ PHOM RAGLAN MẶC ẤM CHO THÚ CƯNG CHÓ MÈO,60000,60000,0,5,2,,,,,,,,,,áo thun nỉ phom
276719363,Dung Dịch Diệt Nấm Túm Đuôi Multibio Nano Care,50000,50000,0,0,0,,,,,,,,,,dung dịch diệt nấm túm
276582550,CƠM GẠO LỨT RONG BIỂN TÂN LỘC PHÁT,103000,103000,0,4.7,20,,,,,,,,,,cơm gạo lứt rong
275987482,Combo 6 Hộp Nước Trái Cây Vị Táo Picnic Maeil (200ml/hộp),79000,79000,0,5,1,,,,,,,,,,combo hộp nước trái cây
275489842,1 Bình bi giúp chim uống nước sạch sẽ (rất phù hợp cho Vẹt),17999,17999,0,4,1,,,,,,,,,,bình bi giúp chim uống
275452631,'Trái Dừa Nước Ngâm Đường Aroy-D 625g - Nhập Khẩu Thái Lan | Aroy-D Palm''s Seeds in Heavy Syrup 625g',119800,119800,0,0,0,,,,,,,,,,trái dừa nước ngâm đường
274839336,TÚI 10L - CÁT VỆ SINH - ĐẤT SÉT MIX THAN HOẠT TÍNH THƯƠNG HIỆU LAPAW CHO MÈO TÚI 10L - BAO BÌ MỚI,99000,99000,0,4.3,4,,,,,,,,,,túi l cát vệ sinh
263765299,Đặc Sản Bình Thuận  - [Ocop] Cá Bống Cắt Nướng Đầm Sen - 90G - Ocop 3 Sao,45000,45000,0,0,0,,,,,,,,,,đặc sản bình thuận cá bống cắt
252283614,Yến Mạch Nguyên Chất Ăn Liền Xuân An [ko đường] Hộp 800G(Tặng kèm 2 túi Yến Mạch 150g),125000,125000,0,5,5,,,,,,,,,,yến mạch nguyên chất ăn liền
