product_id,name,price,original_price,discount,rating,review_count, ,url,product_type
631525,Sữa rửa mặt cải thiện dấu hiệu lão hóa dạng kem Hada Labo Pro-Aging Retinol B3 Cleanser 80g,76000.0,97000.0,21000.0,4.7,477,,https://tiki.vnsua-rua-mat-cai-thien-dau-hieu-lao-hoa-dang-kem-hada-labo-pro-aging-retinol-b3-cleanser-80g-p631525.html?spid=10862507,sữa rửa mặt cải thiện
631498,Kem dưỡng cải thiện lão hóa Hada Labo Pro-Aging Retinol B3 Cream 50g,229000.0,295000.0,66000.0,4.7,628,,https://tiki.vnkem-duong-cai-thien-lao-hoa-hada-labo-pro-aging-retinol-b3-cream-50g-p631498.html?spid=10862543,kem dưỡng cải thiện lão
631034,Sữa rửa mặt dưỡng ẩm tối ưu Hada Labo Advanced Nourish Cleanser 80g,73000.0,87000.0,14000.0,4.7,1251,,https://tiki.vnsua-rua-mat-duong-am-toi-uu-hada-labo-advanced-nourish-cleanser-80g-p631034.html?spid=10862753,sữa rửa mặt dưỡng ẩm
631026,Dung dịch dưỡng ẩm tối ưu Hada Labo Advanced Nourish Lotion dùng cho da thường và da khô 170ml,164000.0,208000.0,44000.0,4.7,326,,https://tiki.vndung-dich-duong-am-toi-uu-hada-labo-advanced-nourish-lotion-dung-cho-da-thuong-va-da-kho-170ml-p631026.html?spid=11336651,dung dịch dưỡng ẩm tối ưu hada labo
630777,"Kem chống nắng Sunplay cực mạnh dạng sữa Sunplay Super Block SPF 81, PA++++ 70g",149000.0,192000.0,43000.0,4.8,419,,https://tiki.vnkem-chong-nang-sunplay-cuc-manh-dang-sua-sunplay-super-block-spf-81-pa-70g-p630777.html?spid=10861844,kem chống nắng sunplay cực
176284237,Sữa Rửa Mặt Nivea Men Hạt Mát Xa Sạch Nhờn Mát Lạnh (100G) - 88880,74000.0,82000.0,8000.0,4.5,6,,https://tiki.vnsua-rua-mat-nivea-men-hat-mat-xa-sach-nhon-mat-lanh-100g-88880-p176284237.html?spid=273568533,sữa rửa mặt nivea men
278998871,Sữa rửa mặt sen Hậu Giang Cocoon 310ml,339000.0,339000.0,0.0,0.0,0,,https://tiki.vnsua-rua-mat-sen-hau-giang-cocoon-310ml-p278998871.html?spid=278998872,sữa rửa mặt sen hậu giang
278733434,"Nước Tẩy Trang Sen Hậu Giang Sạch Bụi Siêu Mịn PM1.0, Có Prebiotics Dịu Êm Cho Da Rất Nhạy Cảm Cocoon 500ml",275000.0,309000.0,34000.0,0.0,0,,https://tiki.vnnuoc-tay-trang-sen-hau-giang-sach-bui-sieu-min-pm1-0-co-prebiotics-diu-em-cho-da-rat-nhay-cam-cocoon-500ml-p278733434.html?spid=278733435,nước tẩy trang sen hậu giang
276342461,B Kem Dưỡng Ẩm Da NIVEA Crème (30 ml) - 80101,51000.0,51000.0,0.0,5.0,3,,https://tiki.vnb2b-kem-duong-am-da-nivea-creme-30-ml-80101-p276342461.html?spid=276342462,b kem dưỡng ẩm da
276130343,Cà Phê Đăk Lăk Làm Sạch Da Chết Môi Cocoon 5g,63750.0,170000.0,106250.0,5.0,4,,https://tiki.vnca-phe-dak-lak-lam-sach-da-chet-moi-cocoon-5g-p276130343.html?spid=276130344,cà phê đăk lăk làm sạch
275969483,Nước sen Hậu Giang (toner) giúp phục hồi cho da rất nhạy cảm Cocoon 310ml,294000.0,295000.0,1000.0,4.5,16,,https://tiki.vnnuoc-sen-hau-giang-310ml-p275969483.html?spid=275969484,nước sen hậu giang giúp
5522507,Nước tẩy trang sạch thoáng Senka A.L.L.Clear Water Fresh 230ml,96000.0,150000.0,54000.0,4.8,182,,https://tiki.vnnuoc-tay-trang-sach-thoang-senka-a-l-l-clear-water-fresh-230ml-p5522507.html?spid=44894556,nước tẩy trang sạch thoáng
275967914,Sữa rửa mặt dạng Gel bí đao rửa mặt Cocoon 310ml,294000.0,295000.0,1000.0,4.5,14,,https://tiki.vngel-bi-dao-rua-mat-310ml-p275967914.html?spid=275967915,sữa rửa mặt dạng
275967828,Sữa rửa mặt nghệ Hưng Yên Cocoon 310ml,250750.0,295000.0,44250.0,5.0,6,,https://tiki.vnsua-rua-mat-nghe-hung-yen-310ml-p275967828.html?spid=275967829,sữa rửa mặt nghệ hưng yên
275798162,Sữa rửa mặt làm sáng da Hatomugi 170g/tuýp,59000.0,59000.0,0.0,5.0,1,,https://tiki.vnsua-rua-mat-lam-sang-da-hatomugi-tuyp-lon-170g-tuyp-p275798162.html?spid=275798164,sữa rửa mặt làm
275660095,Nước xịt khoáng cấp ẩm và làm dịu da AVÈNE THERMAL SPRING WATER,381600.0,424000.0,42400.0,4.7,3,,https://tiki.vnnuoc-xit-khoang-cap-am-va-lam-diu-da-avene-thermal-spring-water-p275660095.html?spid=275664680,nước xịt khoáng cấp ẩm
197902381,Nước tẩy trang sạch sâu dưỡng trắng Hada Labo Micellar Water Whitening 240ml,109000.0,140000.0,31000.0,4.6,30,,https://tiki.vnnuoc-tay-trang-sach-sau-duong-trang-hada-labo-micellar-water-whitening-240ml-p197902381.html?spid=197902382,nước tẩy trang sạch sâu dưỡng
197902379,Nước tẩy trang sạch sâu dưỡng ẩm Hada Labo Micellar Water Hydrating 240ml,106000.0,135000.0,29000.0,4.8,49,,https://tiki.vnnuoc-tay-trang-sach-sau-duong-am-hada-labo-micellar-water-hydrating-240ml-p197902379.html?spid=197902380,nước tẩy trang sạch sâu dưỡng
185591382,Hộp mặt nạ dưỡng trắng chuyên sâu Hada Labo Premium Whitening Serum Mask 115g (hộp 5 miếng x 23g/ miếng),173000.0,220000.0,47000.0,5.0,20,,https://tiki.vnhop-mat-na-duong-trang-chuyen-sau-hada-labo-premium-whitening-serum-mask-115g-hop-5-mieng-x-23g-mieng-p185591382.html?spid=185591383,hộp mặt nạ dưỡng trắng chuyên sâu
116557922,Bộ đôi Kem chống nắng dạng sữa dưỡng da kiềm dầu bảo vệ hoàn hảo + Kem chống nắng dạng gel dưỡng ẩm bảo vệ hoàn hảo (Anessa Gold Milk 60ml + Gold Gel 90g),999000.0,1200000.0,201000.0,5.0,6,,https://tiki.vnbo-doi-kem-chong-nang-dang-sua-duong-da-kiem-dau-bao-ve-hoan-hao-kem-chong-nang-dang-gel-duong-am-bao-ve-hoan-hao-anessa-gold-milk-60ml-gold-gel-90g-p116557922.html?spid=272278923,bộ kem chống nắng
114028279,Serum dưỡng ẩm và chống lão hóa Senka Deep Moist 3X HA 30ml,339000.0,459000.0,120000.0,5.0,1,,https://tiki.vnserum-duong-am-va-chong-lao-hoa-senka-deep-moist-3x-ha-30ml-p114028279.html?spid=272310535,serum dưỡng ẩm chống lão
97556502,"Combo 10 Mặt Nạ Chống Lão Hóa, Giảm Nếp Nhăn BNBG Vita Cocktail AGE Foil Mask 30mlx10",270000.0,437000.0,167000.0,5.0,6,,https://tiki.vncombo-10-mat-na-chong-lao-hoa-giam-nep-nhan-bnbg-vita-cocktail-age-foil-mask-30mlx10-p97556502.html?spid=276163865,combo mặt nạ chống lão
85657642,Combo 10 Mặt Nạ BNBG Phục Hồi Thư Giãn Da Vita Genic Relaxing Jelly Mask 30ml x10,136700.0,291000.0,154300.0,5.0,2,,https://tiki.vncombo-10-mat-na-bnbg-phuc-hoi-thu-gian-da-vita-genic-relaxing-jelly-mask-30ml-x10-p85657642.html?spid=276163569,combo mặt nạ bnbg phục hồi
